,max_damage
MA-UCS,416.15
MA-UCD,475.60
MA-UDS,202.13
MA-UDD,309.14
MA-AAU,178.35
MA-SOC,237.80
MA-TER,451.82
MA-ICS,535.05
MA-ICD,451.82
MA-IDS,202.13
MA-IDD,451.82
MA-AGS,1.19
MA-AGR,5.95
MA-AGI,3.57
MA-OUR,0.59
MA-FOR,0.0 
MA-INF,297.25
MA-FER,416.15
MA-AER,535.05
MA-ENE,594.50
MA-COM,594.50
MA-HID,594.50
MA-WST,178.35
MA-MAG,0.0
MA-OAS,0.0
MA-JAR,23.78
MA-VIA,23.78
MG-ALM,263.11
MG-PRK,34.45
MG-RES,204.44
MG-COM,182.66
MG-AVC,71.40
MG-IDP,130.70
MG-EDU,143.48
MG-HOT,146.80
MG-IND,370.97
MG-OFI,181.31
MG-SAN,648.78
MG-VIV,118.32
MG-PAT,86.80
MG-TLL,132.37
VI-RES,237.80 
VI-GES,59.45 
VI-JAR,2.38 
VI-LIM,2.97
VI-VIA,17.84 
VI-IND,297.25 
VI-COM,297.25 
VI-ARS,3.57 
VI-ARR,0.59 
VI-NAS,1.78 
VI-NAR,0.30 
VI-RBD,46.24 
VI-RMD,107.26 
VI-RAD,141.99 
VI-VAS,196.19 
VI-INF,297.25 